"nl";"nl"
"_EMAIL_FOOTER_MEMBER_BODYHTML";"Groet,<br> dan+doen+we+dat | r e d a c t i e&nbsp;"
"_EMAIL_FOOTER_BODYHTML";"Groet,<br>dan+doen+we+dat | redactie"
"Friends and Networks";"Connecties en Netwerken"
"Friends of Friends";"Connecties van Connecties"
"Friends Only";"Alleen Connecties"
"Friends";"Connecties"
"NETWORK_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Netwerken worden over het algemeen gebruikt om te bepalen wat leden zien in de ""wat is nieuw"" -feed, om leden met elkaar te laten associëren op basis van gemeenschappelijke profielinformatie (zonder dat ze rechtstreeks een connectie hebben), en om advertenties te tonen aan specifieke groepen leden. Elk lid kan lid worden van een of meer netwerken als je dat toestaat, en hun netwerken worden getoond op hun profiel. Als u besluit om netwerken te hebben, zorg er dan voor dat ze verband houden met het thema van uw gemeenschap. Als uw community bijvoorbeeld leden uit verschillende landen heeft, kunt u voor elk land een netwerk maken. Als u wilt dat uw leden recente berichten van andere mensen in hun netwerken zien (zelfs als ze nog geen verbinding met elkaar hebben), kunt u die instelling aanpassen % s."
"Invite Your Friends";"Vrienden uitnodigen"
"_INVITE_FORM_DESCRIPTION";"Nodig je connecties uit om mee te doen! Voer maximaal 10 e-mailadressen in, gescheiden door komma's, in het onderstaande recipient box, ontvangers vak. Als uw connecties besluit zich aan te melden, wacht er een connectie verzoek van u op hen wanneer ze zich voor het eerst aanmelden."
"_EMAIL_INVITE_DESCRIPTION";"Dit is de e-mail die wordt verzonden tijdens het aanmeldingsproces wanneer leden hun connecties uitnodigen om deel te nemen ."
"Friendship Settings";"Connectie Instellingen"
"friendship";"Connectie";"Connections"
"_ACTIVITY_ACTIONTYPE_FRIENDS";"Wanneer ik een connectie maak met iemand"
"_ACTIVITY_ACTIONTYPE_FRIENDS_FOLLOW";"Als ik iemand volg"
"_CORE_ADMIN_STATS_USER_FRIENDSHIPS";"Nieuwe Connectie"
"Friendships";"Connecties"
"Friends: %s friend";"Connecties: %s Connectie";"Connecties: %s Connectie"
"Add to My Friends";"Toevoegen aan Mijn Connecties"
"PAGETITLE-USER-FRIENDS-ADMIN-SETTINGS";"Connectie Settings"
"Transfer to Friends";"Transfer naar Connecties"
"Receive from Friends";"Ontvang van Connecties"
"Can send Credit points to their friends & relatives.";"Kan Credit Punten naar connecties en relatives sturen."
"ADMIN_ACTIVITY_TYPE_FRIENDS";"Wanneer een gebruiker (subject) connectie maakt met een andere gebruiker (object)."
"ADMIN_ACTIVITY_TYPE_FRIENDS_FOLLOW";"Wanneer een gebruiker (subject) een andere gebruiker volgt (object)."
"My Friends & Networks";"Mijn Connecties & Netwerken"
"My Friends";"Mijn Connecties"
"Friends & Networks";"Connecties & Netwerken"
"ACTIVITY_TYPE_FRIENDS";"Wanneer twee leden een connectie maken."
"ACTIVITY_TYPE_FRIENDS_FOLLOW";"Als iemand mij volgt."
"{item:$subject} is now friends with {item:$object}.";"{item:$subject} heeft nu een connectie met {item:$object}."
"Only My Friends' Lists";"Alleen mijn Lijst van Connecties "
"Share with friends";"Delen met connecties"
"You have no friends you can invite.";"Je hebt nog geen connecties die je kan uitnodigen."
"Only My Friends' Groups";"Alleen Connecties uit mijn Groepen"
"Choose All Friends";"Kies Alle Connecties"
"Friends and Networks (user events only)";"Connecties en Netwerken (user events only)"
"Friends of Friends (user events only)";"Connecties van Connecties (user events only)"
"Friends Only (user events only)";"Alleen Connecties (user events only)"
